DonorPostalCode,DonorAge,GenderIdentity,IsAlumnusFlag,IsParentFlag,HasInvolvementFlag,WealthRating,PreferredAddressType,HasEmailFlag,ConsecutiveDonorYears,LastFiscalYearDonation,Donation2FiscalYearsAgo,Donation3FiscalYearsAgo,Donation4FiscalYearsAgo,Donation5FiscalYearsAgo,CurrentFiscalYearDonation,CumulativeDonationAmount,DonorIndicatorFlag.
23187,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,10,1
77643,33,Female,1,0,1,Unknown,Unknown,1,0,0,0,0,0,0,0,2100,1
Unknown,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,200,200,1
47141,31,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
92555,68,Female,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,505,1
95191,57,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
90265,42,Male,0,0,0,Unknown,HOME,1,3,0,0,0,0,0,0,0,0
67701,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,170,1
95972,42,Uknown,0,0,1,Unknown,HOME,0,0,5,0,0,0,0,0,5,1
49884,42,Female,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,15,1
98004,40,Male,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
23328,42,Female,0,1,1,Unknown,HOME,0,2,0,0,0,75,0,0,75,1
90265,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
44237,42,Female,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,0,0
16937,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
59035,47,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,10,1
90265,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
37023,42,Female,0,0,1,Unknown,BUSN,0,0,0,0,0,0,0,0,0,0
35040,42,Female,0,0,0,Unknown,HOME,0,1,0,0,26,0,0,0,26,1
42782,42,Male,0,1,0,Unknown,HOME,1,1,0,0,0,0,0,50,50,1
Unknown,42,Uknown,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
97905,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
90265,61,Female,1,0,1,Unknown,HOME,1,2,0,0,0,0,0,0,65,1
Unknown,58,Female,1,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,53,1
29822,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
6020,42,Female,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,125,1
2339,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
93065,42,Male,0,0,0,"$50,000-$99,999",HOME,0,2,0,0,0,0,0,0,86,1
14845,42,Male,0,0,0,Unknown,HOME,0,1,0,0,10,0,0,0,10,1
56115,62,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,25,1
78635,63,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
90265,42,Male,0,0,0,Unknown,HOME,0,1,51,0,0,0,0,0,51,1
23235,48,Unknown,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
81648,32,Male,0,0,0,Unknown,HOME,0,0,0,0,0,25,0,0,115,1
33433,38,Male,0,0,0,"$50,000-$99,999",HOME,1,0,0,0,0,15,0,0,15,1
89183,42,Uknown,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
90265,31,Female,1,0,1,Unknown,HOME,1,2,0,0,255,135,0,0,390,1
73558,42,Female,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
68768,42,Unknown,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,520,1
99686,38,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,65,1
53075,31,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
27815,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,8,1
1546,42,Male,0,0,0,Unknown,HOME,0,15,0,0,0,0,0,0,11401,1
643,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
13425,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
69154,27,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0
Unknown,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,200,1
39505,39,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
Unknown,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,20,0,1000,1
Unknown,52,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
90265,42,Female,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
15027,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
Unknown,42,Female,0,1,0,Unknown,HOME,0,1,0,0,0,0,0,0,250,1
25508,39,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,120,1
68782,34,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
22657,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
63944,21,Male,0,0,0,"$50,000-$99,999",HOME,1,0,0,0,0,0,0,0,290,1
959,36,Female,0,0,0,Unknown,HOME,0,0,0,0,0,73,0,0,73,1
74471,42,Uknown,0,0,1,Unknown,HOME,1,0,0,0,0,0,0,15,15,1
80109,42,Uknown,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
76306,42,Male,1,0,0,Unknown,HOME,0,1,5000,0,0,0,0,0,7755,1
41061,30,Male,1,0,1,Unknown,HOME,1,1,0,25,0,0,0,1,40,1
75255,42,Male,0,0,0,Unknown,HOME,0,3,0,40,0,0,0,0,405,1
71028,42,Female,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,0,50,1
19140,54,Female,1,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
49962,42,Male,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
3281,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
37725,29,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,40,50,1
96143,75,Female,0,0,0,Unknown,HOME,0,0,0,0,0,25,0,0,25,1
62901,42,Male,0,0,1,Unknown,HOME,0,3,0,0,0,0,0,0,50,1
53227,42,Male,0,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
47708,83,Male,1,0,1,Unknown,HOME,1,30,0,0,0,70,100,0,125805,1
50249,21,Female,0,0,0,Unknown,HOME,0,0,0,0,0,100,0,0,100,1
48441,37,Female,0,0,0,Unknown,CAMP,1,0,0,0,0,0,0,0,0,0
74766,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,1605,1
65590,26,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
Unknown,33,Female,1,1,0,Unknown,HOME,1,10,0,0,1000,500,0,0,1500,1
94096,42,Female,1,0,0,Unknown,Unknown,1,0,0,0,0,0,200,0,200,1
13744,25,Female,0,0,0,Unknown,CAMP,1,0,0,100,120,0,0,0,220,1
36861,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
Unknown,42,Female,1,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
55085,42,Female,0,0,0,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0
57271,81,Female,0,0,1,"$50,000-$99,999",HOME,0,3,0,0,0,0,25,0,220,1
90265,21,Female,0,0,0,Unknown,HOME,1,0,0,10,0,0,0,0,10,1
14871,42,Female,0,1,0,Unknown,HOME,1,1,0,0,3010,0,0,0,3010,1
89779,32,Male,1,0,0,Unknown,HOME,0,0,20,0,0,0,0,0,20,1
31058,23,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
78115,42,Male,0,1,0,Unknown,Unknown,0,0,0,0,0,0,0,0,526,1
90265,55,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,1,1
1515,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,25,1
68104,42,Female,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,0,0
55165,40,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
58075,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
90265,33,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,25,1
59035,42,Female,0,0,0,"$100,000-$249,999",HOME,0,11,0,0,1,0,0,0,580,1
90265,42,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,1,15,1
88102,32,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
90265,42,Female,0,0,0,Unknown,HOME,1,3,120,0,0,100,50,0,270,1
8067,44,Male,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,5,1
63962,33,Male,0,0,0,"$25,000-$49,999",HOME,1,0,0,0,0,0,0,0,0,0
Unknown,42,Uknown,1,0,0,Unknown,HOME,0,3,0,0,0,0,0,50,50,1
90265,42,Female,0,0,1,Unknown,HOME,0,3,0,0,0,0,100,0,100,1
27376,42,Female,0,0,0,"$25,000-$49,999",HOME,0,1,0,0,0,0,0,0,1,1
76539,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,65,1
27306,42,Male,0,0,0,Unknown,HOME,0,1,0,0,200,0,0,0,200,1
10124,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,120,0,0,120,1
48027,42,Female,0,0,0,Unknown,HOME,0,10,0,0,0,0,230,0,1175,1
15207,42,Male,1,0,1,Unknown,HOME,1,0,0,1,0,0,0,0,190,1
53788,79,Female,0,0,0,Unknown,HOME,0,1,25,0,0,0,0,0,25,1
78220,42,Unknown,0,0,0,"$25,000-$49,999",HOME,0,1,0,0,0,0,0,0,0,0
72842,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
45889,35,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,1464,1
46072,42,Female,0,0,1,Unknown,HOME,0,2,0,0,0,0,0,0,25,1
27007,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
10703,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,1,1,1
Unknown,30,Male,1,0,1,Unknown,HOME,1,0,10,0,0,0,0,0,10,1
44320,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0
45381,42,Uknown,0,0,1,Unknown,Unknown,0,0,0,0,0,0,0,0,5,1
Unknown,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,2,1
37708,26,Male,1,0,1,Unknown,HOME,1,5,0,0,200,0,0,0,200,1
90265,46,Male,1,0,0,Unknown,HOME,0,0,500,0,250,0,0,0,750,1
Unknown,42,Male,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0
95689,42,Female,0,0,0,"$250,000-$499,999",HOME,0,0,0,0,0,0,0,0,25,1
9001,42,Male,1,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,25,1
86335,42,Male,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,0,0,0
39666,52,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,110,1
87730,42,Male,1,0,0,Unknown,HOME,0,4,0,0,0,0,0,0,70,1
90265,42,Male,1,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0
32227,42,Female,0,1,0,Unknown,HOME,1,2,0,0,0,0,0,0,50,1
91361,42,Male,0,0,1,Unknown,HOME,0,1,0,0,25,0,0,0,25,1
44441,37,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
Unknown,42,Female,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,25,1
58448,62,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,30,1
