DonorPostalCode,DonorAge,GenderIdentity,IsAlumnusFlag,IsParentFlag,HasInvolvementFlag,WealthRating,PreferredAddressType,HasEmailFlag,ConsecutiveDonorYears,LastFiscalYearDonation,Donation2FiscalYearsAgo,Donation3FiscalYearsAgo,Donation4FiscalYearsAgo,Donation5FiscalYearsAgo,CurrentFiscalYearDonation,CumulativeDonationAmount,DonorIndicatorFlag.,Anomaly_Label,Anomaly_Score
23187,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,10,1,0,0.0
77643,33,Female,1,0,1,Unknown,Unknown,1,0,0,0,0,0,0,0,2100,1,0,10.392304845413264
Unknown,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,200,200,1,0,1.0
47141,31,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
92555,68,Female,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,505,1,0,10.392304845413264
95191,57,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
90265,42,Male,0,0,0,Unknown,HOME,1,3,0,0,0,0,0,0,0,0,0,0.0
67701,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,170,1,0,0.0
95972,42,Uknown,0,0,1,Unknown,HOME,0,0,5,0,0,0,0,0,5,1,0,1.7320508075688772
49884,42,Female,0,1,0,Unknown,HOME,0,0,0,0,0,0,0,0,15,1,0,1.0
98004,40,Male,0,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
23328,42,Female,0,1,1,Unknown,HOME,0,2,0,0,0,75,0,0,75,1,0,1.7320508075688772
90265,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
44237,42,Female,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,0,0,0,0.0
16937,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
59035,47,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,10,1,0,1.4142135623730951
90265,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
37023,42,Female,0,0,1,Unknown,BUSN,0,0,0,0,0,0,0,0,0,0,0,0.0
35040,42,Female,0,0,0,Unknown,HOME,0,1,0,0,26,0,0,0,26,1,0,1.4142135623730951
42782,42,Male,0,1,0,Unknown,HOME,1,1,0,0,0,0,0,50,50,1,0,1.4142135623730951
Unknown,42,Uknown,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
97905,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
90265,61,Female,1,0,1,Unknown,HOME,1,2,0,0,0,0,0,0,65,1,0,4.47213595499958
Unknown,58,Female,1,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,53,1,0,3.3166247903554
29822,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
6020,42,Female,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,125,1,0,1.0
2339,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
93065,42,Male,0,0,0,"$50,000-$99,999",HOME,0,2,0,0,0,0,0,0,86,1,0,1.4142135623730951
14845,42,Male,0,0,0,Unknown,HOME,0,1,0,0,10,0,0,0,10,1,0,1.0
56115,62,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,25,1,0,1.4142135623730951
78635,63,Male,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0.0
90265,42,Male,0,0,0,Unknown,HOME,0,1,51,0,0,0,0,0,51,1,0,1.4142135623730951
23235,48,Unknown,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
81648,32,Male,0,0,0,Unknown,HOME,0,0,0,0,0,25,0,0,115,1,0,12.24744871391589
33433,38,Male,0,0,0,"$50,000-$99,999",HOME,1,0,0,0,0,15,0,0,15,1,0,4.242640687119285
89183,42,Uknown,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
90265,31,Female,1,0,1,Unknown,HOME,1,2,0,0,255,135,0,0,390,1,1,82.29823813423954
73558,42,Female,0,0,1,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
68768,42,Unknown,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,520,1,0,1.7320508075688772
99686,38,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,65,1,0,1.7320508075688772
53075,31,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
27815,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,8,1,0,1.0
1546,42,Male,0,0,0,Unknown,HOME,0,15,0,0,0,0,0,0,11401,1,1,127.38524247337287
643,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
13425,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
69154,27,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,0,0,0,0.0
Unknown,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,200,1,0,0.0
39505,39,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
Unknown,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,20,0,1000,1,0,20.0
Unknown,52,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
90265,42,Female,1,0,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
15027,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
Unknown,42,Female,0,1,0,Unknown,HOME,0,1,0,0,0,0,0,0,250,1,0,1.0
25508,39,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,120,1,0,1.7320508075688772
68782,34,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
22657,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
63944,21,Male,0,0,0,"$50,000-$99,999",HOME,1,0,0,0,0,0,0,0,290,1,0,10.198039027185569
959,36,Female,0,0,0,Unknown,HOME,0,0,0,0,0,73,0,0,73,1,0,6.708203932499369
74471,42,Uknown,0,0,1,Unknown,HOME,1,0,0,0,0,0,0,15,15,1,0,7.211102550927978
80109,42,Uknown,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
76306,42,Male,1,0,0,Unknown,HOME,0,1,5000,0,0,0,0,0,7755,1,1,3247.5546184783407
41061,30,Male,1,0,1,Unknown,HOME,1,1,0,25,0,0,0,1,40,1,0,11.575836902790225
75255,42,Male,0,0,0,Unknown,HOME,0,3,0,40,0,0,0,0,405,1,1,28.35489375751565
71028,42,Female,0,0,0,Unknown,HOME,0,2,0,0,0,0,0,0,50,1,0,0.0
19140,54,Female,1,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,1.0
49962,42,Male,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
3281,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
37725,29,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,40,50,1,0,10.04987562112089
96143,75,Female,0,0,0,Unknown,HOME,0,0,0,0,0,25,0,0,25,1,0,6.324555320336759
62901,42,Male,0,0,1,Unknown,HOME,0,3,0,0,0,0,0,0,50,1,0,1.0
53227,42,Male,0,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
47708,83,Male,1,0,1,Unknown,HOME,1,30,0,0,0,70,100,0,125805,1,1,19974.436212318986
50249,21,Female,0,0,0,Unknown,HOME,0,0,0,0,0,100,0,0,100,1,0,6.0
48441,37,Female,0,0,0,Unknown,CAMP,1,0,0,0,0,0,0,0,0,0,0,0.0
74766,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,1605,1,0,8.602325267042627
65590,26,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
Unknown,33,Female,1,1,0,Unknown,HOME,1,10,0,0,1000,500,0,0,1500,1,1,353.7838323044172
94096,42,Female,1,0,0,Unknown,Unknown,1,0,0,0,0,0,200,0,200,1,0,1.4142135623730951
13744,25,Female,0,0,0,Unknown,CAMP,1,0,0,100,120,0,0,0,220,1,0,17.029386365926403
36861,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
Unknown,42,Female,1,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0.0
55085,42,Female,0,0,0,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0.0
57271,81,Female,0,0,1,"$50,000-$99,999",HOME,0,3,0,0,0,0,25,0,220,1,1,27.09243436828813
90265,21,Female,0,0,0,Unknown,HOME,1,0,0,10,0,0,0,0,10,1,0,9.486832980505138
14871,42,Female,0,1,0,Unknown,HOME,1,1,0,0,3010,0,0,0,3010,1,1,653.3965105508294
89779,32,Male,1,0,0,Unknown,HOME,0,0,20,0,0,0,0,0,20,1,0,7.211102550927978
31058,23,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
78115,42,Male,0,1,0,Unknown,Unknown,0,0,0,0,0,0,0,0,526,1,0,2.449489742783178
90265,55,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,1,1,0,1.7320508075688772
1515,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,25,1,0,0.0
68104,42,Female,0,0,0,Unknown,HOME,1,1,0,0,0,0,0,0,0,0,0,0.0
55165,40,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
58075,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
90265,33,Male,1,0,1,Unknown,HOME,1,1,0,0,0,0,0,0,25,1,0,1.0
59035,42,Female,0,0,0,"$100,000-$249,999",HOME,0,11,0,0,1,0,0,0,580,1,0,10.04987562112089
90265,42,Female,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,1,15,1,0,1.0
88102,32,Female,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
90265,42,Female,0,0,0,Unknown,HOME,1,3,120,0,0,100,50,0,270,1,1,79.71198153351854
8067,44,Male,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,5,1,0,2.0
63962,33,Male,0,0,0,"$25,000-$49,999",HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
Unknown,42,Uknown,1,0,0,Unknown,HOME,0,3,0,0,0,0,0,50,50,1,0,1.4142135623730951
90265,42,Female,0,0,1,Unknown,HOME,0,3,0,0,0,0,100,0,100,1,0,0.0
27376,42,Female,0,0,0,"$25,000-$49,999",HOME,0,1,0,0,0,0,0,0,1,1,0,0.0
76539,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,65,1,0,0.0
27306,42,Male,0,0,0,Unknown,HOME,0,1,0,0,200,0,0,0,200,1,0,0.0
10124,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,120,0,0,120,1,0,1.0
48027,42,Female,0,0,0,Unknown,HOME,0,10,0,0,0,0,230,0,1175,1,1,80.62877898120497
15207,42,Male,1,0,1,Unknown,HOME,1,0,0,1,0,0,0,0,190,1,0,2.0
53788,79,Female,0,0,0,Unknown,HOME,0,1,25,0,0,0,0,0,25,1,0,8.18535277187245
78220,42,Unknown,0,0,0,"$25,000-$49,999",HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
72842,42,Male,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,0,0,0,0.0
45889,35,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,1464,1,0,7.615773105863909
46072,42,Female,0,0,1,Unknown,HOME,0,2,0,0,0,0,0,0,25,1,0,1.0
27007,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
10703,42,Female,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,1,1,1,0,0.0
Unknown,30,Male,1,0,1,Unknown,HOME,1,0,10,0,0,0,0,0,10,1,0,7.211102550927978
44320,42,Male,0,0,0,Unknown,HOME,0,1,0,0,0,0,0,0,0,0,0,0.0
45381,42,Uknown,0,0,1,Unknown,Unknown,0,0,0,0,0,0,0,0,5,1,0,0.0
Unknown,42,Female,0,0,0,Unknown,HOME,0,0,0,0,0,0,0,0,2,1,0,0.0
37708,26,Male,1,0,1,Unknown,HOME,1,5,0,0,200,0,0,0,200,1,0,16.06237840420901
90265,46,Male,1,0,0,Unknown,HOME,0,0,500,0,250,0,0,0,750,1,1,142.8355697996826
Unknown,42,Male,1,0,1,Unknown,HOME,1,0,0,0,0,0,0,0,0,0,0,0.0
95689,42,Female,0,0,0,"$250,000-$499,999",HOME,0,0,0,0,0,0,0,0,25,1,0,0.0
9001,42,Male,1,0,1,Unknown,HOME,0,1,0,0,0,0,0,0,25,1,0,1.0
