DonorPostalCode,DonorAge,GenderIdentity,IsAlumnusFlag,IsParentFlag,HasInvolvementFlag,WealthRating,PreferredAddressType,HasEmailFlag,ConsecutiveDonorYears,LastFiscalYearDonation,Donation2FiscalYearsAgo,Donation3FiscalYearsAgo,Donation4FiscalYearsAgo,Donation5FiscalYearsAgo,CurrentFiscalYearDonation,CumulativeDonationAmount,DonorIndicatorFlag.,Anomaly_Label,Anomaly_Score
90265,31,Female,1,0,1,Unknown,HOME,1,2,0,0,255,135,0,0,390,1,1,82.29823813423954
1546,42,Male,0,0,0,Unknown,HOME,0,15,0,0,0,0,0,0,11401,1,1,127.38524247337287
76306,42,Male,1,0,0,Unknown,HOME,0,1,5000,0,0,0,0,0,7755,1,1,3247.5546184783407
75255,42,Male,0,0,0,Unknown,HOME,0,3,0,40,0,0,0,0,405,1,1,28.35489375751565
47708,83,Male,1,0,1,Unknown,HOME,1,30,0,0,0,70,100,0,125805,1,1,19974.436212318986
Unknown,33,Female,1,1,0,Unknown,HOME,1,10,0,0,1000,500,0,0,1500,1,1,353.7838323044172
57271,81,Female,0,0,1,"$50,000-$99,999",HOME,0,3,0,0,0,0,25,0,220,1,1,27.09243436828813
14871,42,Female,0,1,0,Unknown,HOME,1,1,0,0,3010,0,0,0,3010,1,1,653.3965105508294
90265,42,Female,0,0,0,Unknown,HOME,1,3,120,0,0,100,50,0,270,1,1,79.71198153351854
48027,42,Female,0,0,0,Unknown,HOME,0,10,0,0,0,0,230,0,1175,1,1,80.62877898120497
90265,46,Male,1,0,0,Unknown,HOME,0,0,500,0,250,0,0,0,750,1,1,142.8355697996826
30641,42,Female,0,0,0,Unknown,HOME,0,1,0,0,10,0,0,2750,2760,1,1,346.70304296328294
75957,42,Male,0,1,0,Unknown,HOME,1,0,0,0,0,0,0,0,2440,1,1,25.03996805109783
10581,42,Female,0,0,0,Unknown,HOME,0,12,0,0,0,0,0,0,2050,1,1,22.135943621178654
60546,42,Male,1,0,1,Unknown,HOME,1,0,0,100,100,0,0,70,270,1,1,80.01249902359005
6359,32,Female,1,0,1,Unknown,HOME,1,0,0,200,120,0,0,0,17971,1,1,1300.1634512629557
92173,42,Male,0,0,1,Unknown,HOME,0,6,120,0,0,0,0,0,404,1,1,41.31585652022719
43556,42,Male,0,0,0,Unknown,Unknown,0,0,1500,0,500,0,0,0,2000,1,1,517.9053967666296
